company_id,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,revenue_flag_3yr,revenue_flag_5yr,revenue_flag_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,pat_flag_3yr,pat_flag_5yr,pat_flag_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,eps_flag_3yr,eps_flag_5yr,eps_flag_10yr
ABB,10.71,9.72,9.9,OK,OK,OK,20.23,21.69,19.75,OK,OK,OK,20.24,21.66,19.77,OK,OK,OK
ADANIENSOL,18.72,17.85,,OK,OK,ZERO_BASE,-2.49,16.43,,OK,OK,ZERO_BASE,-3.13,14.87,,OK,OK,ZERO_BASE
ADANIENT,34.6,19.02,5.78,OK,OK,OK,47.18,45.81,2.34,OK,OK,OK,51.83,31.95,3.42,OK,OK,OK
ADANIGREEN,43.44,34.98,,OK,OK,INSUFFICIENT,90.59,,,OK,TURNAROUND,INSUFFICIENT,91.29,,,OK,TURNAROUND,INSUFFICIENT
ADANIPORTS,28.1,24.91,19.58,OK,OK,OK,50.32,27.91,14.91,OK,OK,OK,52.0,28.54,14.87,OK,OK,OK
ADANIPOWER,24.29,16.09,12.63,OK,OK,OK,154.07,,,OK,TURNAROUND,TURNAROUND,162.07,,,OK,TURNAROUND,TURNAROUND
AMBUJACEM,7.84,4.11,12.41,OK,OK,OK,11.13,8.08,12.65,OK,OK,OK,7.46,6.44,6.5,OK,OK,OK
APOLLOHOSP,21.75,14.66,15.9,OK,OK,OK,89.68,36.13,11.49,OK,OK,OK,84.69,29.95,10.6,OK,OK,OK
ASIANPAINT,17.8,13.03,11.25,OK,OK,OK,20.12,20.28,15.97,OK,OK,OK,19.98,20.97,15.93,OK,OK,OK
ATGL,38.18,21.09,,OK,OK,INSUFFICIENT,13.0,23.88,,OK,OK,INSUFFICIENT,14.47,24.57,,OK,OK,INSUFFICIENT
AXISBANK,19.97,14.74,13.57,OK,OK,OK,55.69,39.67,14.86,OK,OK,OK,54.41,35.1,12.03,OK,OK,OK
BAJAJ-AUTO,17.38,8.13,8.34,OK,OK,OK,16.64,9.36,8.59,OK,OK,OK,18.0,10.18,8.96,OK,OK,OK
BAJAJFINSV,22.13,20.97,33.75,OK,OK,OK,28.4,23.75,21.68,OK,OK,OK,22.12,20.59,17.69,OK,OK,OK
BAJAJHLDNG,55.01,31.61,14.94,OK,OK,OK,26.32,19.3,13.99,OK,OK,OK,25.8,18.97,13.82,OK,OK,OK
BAJFINANCE,27.26,24.35,,OK,OK,INSUFFICIENT,48.42,29.32,,OK,OK,INSUFFICIENT,47.23,27.56,,OK,OK,INSUFFICIENT
BANKBARODA,16.79,17.48,11.33,OK,OK,OK,126.68,74.51,14.12,OK,OK,OK,128.94,55.18,4.58,OK,OK,OK
BEL,12.83,10.75,12.01,OK,OK,OK,23.8,16.13,15.39,OK,OK,OK,18.56,10.76,17.46,OK,OK,OK
BHARTIARTL,14.23,13.17,5.74,OK,OK,OK,,38.36,10.98,TURNAROUND,OK,OK,,67.03,10.03,TURNAROUND,OK,OK
BHEL,11.34,-4.73,-4.92,OK,OK,OK,,-22.4,-22.27,TURNAROUND,OK,OK,,-19.73,-20.57,TURNAROUND,OK,OK
BOSCHLTD,19.84,6.72,6.06,OK,OK,OK,72.87,9.28,9.86,OK,OK,OK,72.65,9.26,10.48,OK,OK,OK
BPCL,24.86,8.48,5.42,OK,OK,OK,15.75,25.79,20.82,OK,OK,OK,18.78,28.06,21.29,OK,OK,OK
BRITANNIA,8.48,8.69,9.27,OK,OK,OK,4.86,13.06,18.37,OK,OK,OK,4.95,13.14,18.72,OK,OK,OK
CANBK,16.3,18.18,10.82,OK,OK,OK,73.34,85.78,19.14,OK,OK,OK,61.98,53.42,5.45,OK,OK,OK
CHOLAFIN,25.99,21.94,19.31,OK,OK,OK,31.01,23.36,24.97,OK,OK,OK,29.22,22.28,23.42,OK,OK,OK
CIPLA,10.39,9.51,9.74,OK,OK,OK,20.25,22.73,11.46,OK,OK,OK,19.35,21.83,11.61,OK,OK,OK
COALINDIA,16.49,7.4,7.26,OK,OK,OK,43.29,16.43,9.48,OK,OK,OK,42.68,16.85,9.78,OK,OK,OK
DABUR,9.06,7.81,5.8,OK,OK,OK,2.23,4.6,7.05,OK,OK,OK,0.0,4.56,7.18,OK,OK,OK
DIVISLAB,4.03,9.66,11.97,OK,OK,OK,-6.92,3.41,7.55,OK,OK,OK,-7.17,3.3,7.54,OK,OK,OK
