company_id,year,free_cash_flow,cfo_quality,capex_intensity,fcf_conversion_rate,capital_pattern
TCS,Mar-13,5577.0,Accrual Risk,Capital Intensive,,Reinvestor
TCS,Mar-14,5299.0,Accrual Risk,Capital Intensive,,Reinvestor
TCS,Mar-15,17562.0,Accrual Risk,Capital Intensive,,Reinvestor
TCS,Mar-16,14099.0,Accrual Risk,Capital Intensive,,Reinvestor
TCS,Mar-17,8328.0,Accrual Risk,Capital Intensive,,Reinvestor
TCS,Mar-18,28171.0,Accrual Risk,Capital Intensive,,Liquidating Assets
TCS,Mar-19,30238.0,Accrual Risk,Capital Intensive,,Liquidating Assets
TCS,Mar-20,41337.0,Accrual Risk,Capital Intensive,,Liquidating Assets
TCS,Mar-21,30846.0,Accrual Risk,Capital Intensive,,Reinvestor
TCS,Mar-22,39211.0,Accrual Risk,Capital Intensive,,Reinvestor
TCS,Mar-23,42513.0,Accrual Risk,Capital Intensive,,Liquidating Assets
TCS,Mar-24,50429.0,Accrual Risk,Capital Intensive,,Liquidating Assets
ABB,Dec 2012,42.0,Moderate,Moderate,20.79,Reinvestor
ABB,Mar 2014,11.0,Moderate,Moderate,4.12,Reinvestor
ABB,Mar 2015,28.0,Moderate,Capital Intensive,8.97,Reinvestor
ABB,Mar 2016,172.0,Moderate,Asset Light,47.12,Reinvestor
ABB,Mar 2017,152.0,High Quality,Moderate,38.19,Shareholder Returns
ABB,Mar 2018,-62.0,Accrual Risk,Moderate,-11.81,Reinvestor
ABB,Mar 2019,242.0,High Quality,Moderate,40.0,Shareholder Returns
ABB,Mar 2020,225.0,High Quality,Capital Intensive,29.72,Shareholder Returns
ABB,Mar 2021,655.0,High Quality,Asset Light,71.04,Shareholder Returns
ABB,Mar 2022,552.0,High Quality,Capital Intensive,51.02,Shareholder Returns
ABB,Mar 2023,745.0,Moderate,Asset Light,61.77,Reinvestor
ABB,Mar 2024,797.0,High Quality,Moderate,54.85,Shareholder Returns
ABB,Mar 2014,0.0,Accrual Risk,Asset Light,0.0,Cash Accumulator
ABB,Mar 2015,-1899.0,Accrual Risk,Capital Intensive,-608.65,Growth Funded by Debt
ABB,Mar 2016,728.0,High Quality,Capital Intensive,199.45,Shareholder Returns
ABB,Mar 2017,459.0,High Quality,Capital Intensive,115.33,Shareholder Returns
