company_id,cluster_id,cluster_name,distance_from_centroid
HCLTECH,2,Cluster 2,0.7837
BHEL,2,Cluster 2,2.1076
HAVELLS,2,Cluster 2,0.9118
PFC,4,Cluster 4,3.1219
HDFCLIFE,0,Cluster 0,1.8025
HDFCBANK,3,Cluster 3,1.3812
BOSCHLTD,2,Cluster 2,0.6064
GRASIM,2,Cluster 2,1.949
BPCL,2,Cluster 2,1.2368
LTIM,0,Cluster 0,1.4052
RELIANCE,2,Cluster 2,1.7021
JSWSTEEL,0,Cluster 0,0.7486
ADANIENT,0,Cluster 0,0.673
ULTRACEMCO,2,Cluster 2,0.7223
ADANIENSOL,0,Cluster 0,0.8458
TORNTPHARM,2,Cluster 2,0.4126
HINDUNILVR,2,Cluster 2,1.5091
TVSMOTOR,0,Cluster 0,1.3302
ADANIGREEN,4,Cluster 4,2.4624
SHRIRAMFIN,0,Cluster 0,1.6857
SHREECEM,2,Cluster 2,0.6601
CANBK,3,Cluster 3,1.9984
RECLTD,4,Cluster 4,1.2496
CHOLAFIN,4,Cluster 4,0.508
JSWENERGY,2,Cluster 2,0.9283
INFY,2,Cluster 2,1.0442
BRITANNIA,1,Cluster 1,1.577
TATAPOWER,0,Cluster 0,0.7736
SUNPHARMA,2,Cluster 2,0.4315
TATAMOTORS,2,Cluster 2,1.9231
AXISBANK,4,Cluster 4,1.3703
INDUSINDBK,4,Cluster 4,1.1932
BAJFINANCE,4,Cluster 4,2.19
TATASTEEL,2,Cluster 2,1.2349
MOTHERSON,2,Cluster 2,0.7193
MARUTI,2,Cluster 2,0.5928
PNB,1,Cluster 1,2.0323
DIVISLAB,2,Cluster 2,0.5018
BAJAJHLDNG,0,Cluster 0,2.2139
ICICIGI,2,Cluster 2,1.661
ICICIBANK,3,Cluster 3,0.9894
ICICIPRULI,0,Cluster 0,2.835
BHARTIARTL,2,Cluster 2,1.4132
SIEMENS,2,Cluster 2,0.676
IOC,2,Cluster 2,1.4928
BEL,1,Cluster 1,0.7987
IRCTC,0,Cluster 0,0.9448
ONGC,2,Cluster 2,1.5305
COALINDIA,2,Cluster 2,1.9842
DABUR,2,Cluster 2,0.4591
ITC,2,Cluster 2,0.6743
IRFC,4,Cluster 4,2.169
TATACONSUM,0,Cluster 0,0.8458
BAJAJFINSV,4,Cluster 4,2.2172
BANKBARODA,4,Cluster 4,2.1818
HAL,1,Cluster 1,0.898
POWERGRID,2,Cluster 2,1.4727
DLF,2,Cluster 2,1.9289
LICI,2,Cluster 2,1.6573
SBILIFE,0,Cluster 0,0.8304
CIPLA,2,Cluster 2,1.5384
BAJAJ-AUTO,2,Cluster 2,0.5223
LT,1,Cluster 1,1.0801
JINDALSTEL,2,Cluster 2,1.1042
KOTAKBANK,3,Cluster 3,1.8063
JIOFIN,2,Cluster 2,1.5065
HINDALCO,2,Cluster 2,1.5752
LODHA,2,Cluster 2,1.6245
HEROMOTOCO,2,Cluster 2,1.7307
NAUKRI,0,Cluster 0,0.9509
NHPC,2,Cluster 2,1.1213
NTPC,2,Cluster 2,0.6869
TITAN,0,Cluster 0,0.9753
TCS,2,Cluster 2,2.4317
TRENT,0,Cluster 0,2.3411
TECHM,2,Cluster 2,0.7121
M&M,2,Cluster 2,1.0474
ASIANPAINT,2,Cluster 2,0.923
GAIL,2,Cluster 2,0.7588
EICHERMOT,2,Cluster 2,0.5707
AMBUJACEM,2,Cluster 2,0.8851
ADANIPOWER,0,Cluster 0,1.7668
DRREDDY,2,Cluster 2,0.7082
DMART,0,Cluster 0,0.5012
PIDILITIND,2,Cluster 2,0.6581
GODREJCP,2,Cluster 2,1.1959
APOLLOHOSP,0,Cluster 0,0.8512
ADANIPORTS,0,Cluster 0,1.081
NESTLEIND,1,Cluster 1,0.8325
ABB,2,Cluster 2,0.8112
UNIONBANK,3,Cluster 3,2.348
INDIGO,1,Cluster 1,1.9358
