company_id,year,sector,source_opm,calculated_opm,difference,remark
ADANIENSOL,Mar 2024,Energy,30.0,34.39,4.39,OPM mismatch
AXISBANK,Mar 2013,Financials,1353.0,30.58,1322.42,Financial sector - review separately
AXISBANK,Mar 2014,Financials,2307.0,31.47,2275.53,Financial sector - review separately
AXISBANK,Mar 2015,Financials,3097.0,31.36,3065.64,Financial sector - review separately
AXISBANK,Mar 2016,Financials,3466.0,32.61,3433.39,Financial sector - review separately
AXISBANK,Mar 2017,Financials,-5715.0,53.45,5768.45,Financial sector - review separately
AXISBANK,Mar 2018,Financials,-10277.0,63.12,10340.12,Financial sector - review separately
AXISBANK,Mar 2019,Financials,-5447.0,49.39,5496.39,Financial sector - review separately
AXISBANK,Mar 2020,Financials,-9859.0,55.98,9914.98,Financial sector - review separately
AXISBANK,Mar 2021,Financials,-2510.0,50.12,2560.12,Financial sector - review separately
AXISBANK,Mar 2022,Financials,3170.0,44.47,3125.53,Financial sector - review separately
AXISBANK,Mar 2023,Financials,13857.0,34.16,13822.84,Financial sector - review separately
AXISBANK,Mar 2024,Financials,11952.0,34.69,11917.31,Financial sector - review separately
AXISBANK,TTM,Financials,9061.0,36.94,9024.06,Financial sector - review separately
BAJFINANCE,Mar 2015,Financials,1367.0,32.49,1334.51,Financial sector - review separately
BAJFINANCE,Mar 2016,Financials,1986.0,32.25,1953.75,Financial sector - review separately
BAJFINANCE,Mar 2017,Financials,2867.0,32.6,2834.4,Financial sector - review separately
BAJFINANCE,Mar 2018,Financials,3935.0,32.28,3902.72,Financial sector - review separately
BAJFINANCE,Mar 2019,Financials,6310.0,29.5,6280.5,Financial sector - review separately
BAJFINANCE,Mar 2020,Financials,7608.0,34.73,7573.27,Financial sector - review separately
BAJFINANCE,Mar 2021,Financials,6314.0,40.64,6273.36,Financial sector - review separately
BAJFINANCE,Mar 2022,Financials,9906.0,37.55,9868.45,Financial sector - review separately
BAJFINANCE,Mar 2023,Financials,16018.0,30.65,15987.35,Financial sector - review separately
BAJFINANCE,Mar 2024,Financials,19987.0,29.29,19957.71,Financial sector - review separately
BAJFINANCE,TTM,Financials,21417.0,30.42,21386.58,Financial sector - review separately
BANKBARODA,Mar 2013,Financials,1006.0,30.05,975.95,Financial sector - review separately
BANKBARODA,Mar 2014,Financials,809.0,29.78,779.22,Financial sector - review separately
BANKBARODA,Mar 2015,Financials,902.0,29.98,872.02,Financial sector - review separately
BANKBARODA,Mar 2016,Financials,-11700.0,55.44,11755.44,Financial sector - review separately
BANKBARODA,Mar 2017,Financials,-4372.0,43.28,4415.28,Financial sector - review separately
BANKBARODA,Mar 2018,Financials,-9197.0,56.65,9253.65,Financial sector - review separately
BANKBARODA,Mar 2019,Financials,-5414.0,48.79,5462.79,Financial sector - review separately
BANKBARODA,Mar 2020,Financials,-11728.0,51.44,11779.44,Financial sector - review separately
BANKBARODA,Mar 2021,Financials,-6957.0,51.23,7008.23,Financial sector - review separately
BANKBARODA,Mar 2022,Financials,-2948.0,51.12,2999.12,Financial sector - review separately
BANKBARODA,Mar 2023,Financials,6329.0,40.45,6288.55,Financial sector - review separately
BANKBARODA,Mar 2024,Financials,4102.0,37.49,4064.51,Financial sector - review separately
BANKBARODA,TTM,Financials,3526.0,37.42,3488.58,Financial sector - review separately
CANBK,Mar 2013,Financials,655.0,21.18,633.82,Financial sector - review separately
CANBK,Mar 2014,Financials,-672.0,24.35,696.35,Financial sector - review separately
CANBK,Mar 2015,Financials,-621.0,23.51,644.51,Financial sector - review separately
CANBK,Mar 2016,Financials,-8008.0,40.38,8048.38,Financial sector - review separately
CANBK,Mar 2017,Financials,-5775.0,37.85,5812.85,Financial sector - review separately
CANBK,Mar 2018,Financials,-13350.0,61.87,13411.87,Financial sector - review separately
CANBK,Mar 2019,Financials,-11590.0,56.73,11646.73,Financial sector - review separately
CANBK,Mar 2020,Financials,-12867.0,53.88,12920.88,Financial sector - review separately
CANBK,Mar 2021,Financials,-18367.0,61.83,18428.83,Financial sector - review separately
CANBK,Mar 2022,Financials,-13657.0,58.39,13715.39,Financial sector - review separately
CANBK,Mar 2023,Financials,-9877.0,49.8,9926.8,Financial sector - review separately
CANBK,Mar 2024,Financials,-7745.0,41.75,7786.75,Financial sector - review separately
CANBK,TTM,Financials,-8985.0,40.23,9025.23,Financial sector - review separately
CHOLAFIN,Mar 2013,Financials,472.0,26.77,445.23,Financial sector - review separately
CHOLAFIN,Mar 2014,Financials,578.0,28.42,549.58,Financial sector - review separately
CHOLAFIN,Mar 2015,Financials,696.0,28.56,667.44,Financial sector - review separately
CHOLAFIN,Mar 2016,Financials,899.0,30.04,868.96,Financial sector - review separately
CHOLAFIN,Mar 2017,Financials,1143.0,28.16,1114.84,Financial sector - review separately
CHOLAFIN,Mar 2018,Financials,1451.0,26.1,1424.9,Financial sector - review separately
CHOLAFIN,Mar 2019,Financials,1888.0,22.96,1865.04,Financial sector - review separately
CHOLAFIN,Mar 2020,Financials,1699.0,27.79,1671.21,Financial sector - review separately
CHOLAFIN,Mar 2021,Financials,2094.0,30.4,2063.6,Financial sector - review separately
CHOLAFIN,Mar 2022,Financials,2924.0,28.83,2895.17,Financial sector - review separately
CHOLAFIN,Mar 2023,Financials,3515.0,28.1,3486.9,Financial sector - review separately
CHOLAFIN,Mar 2024,Financials,4548.0,28.1,4519.9,Financial sector - review separately
CHOLAFIN,TTM,Financials,5175.0,28.67,5146.33,Financial sector - review separately
CIPLA,Mar 2013,Healthcare,2214.0,73.26,2140.74,OPM mismatch
CIPLA,Mar 2014,Healthcare,2147.0,78.9,2068.1,OPM mismatch
CIPLA,Mar 2015,Healthcare,2163.0,80.94,2082.06,OPM mismatch
CIPLA,Mar 2016,Healthcare,2480.0,82.02,2397.98,OPM mismatch
CIPLA,Mar 2017,Healthcare,2496.0,82.66,2413.34,OPM mismatch
CIPLA,Mar 2018,Healthcare,2826.0,81.35,2744.65,OPM mismatch
CIPLA,Mar 2019,Healthcare,3097.0,81.07,3015.93,OPM mismatch
CIPLA,Mar 2020,Healthcare,3206.0,81.29,3124.71,OPM mismatch
CIPLA,Mar 2021,Healthcare,4252.0,77.8,4174.2,OPM mismatch
CIPLA,Mar 2022,Healthcare,4553.0,79.08,4473.92,OPM mismatch
CIPLA,Mar 2023,Healthcare,5027.0,77.91,4949.09,OPM mismatch
CIPLA,Mar 2024,Healthcare,6291.0,75.59,6215.41,OPM mismatch
CIPLA,TTM,Healthcare,6906.0,74.4,6831.6,OPM mismatch
COALINDIA,Mar 2013,Materials,18087.0,73.52,18013.48,OPM mismatch
COALINDIA,Mar 2014,Materials,17766.0,74.84,17691.16,OPM mismatch
COALINDIA,Mar 2015,Materials,17343.0,76.6,17266.4,OPM mismatch
