company_id,year,previous_pattern,current_pattern
ABB,Mar 2014,Reinvestor,Cash Accumulator
ABB,Mar 2015,Cash Accumulator,Reinvestor
ABB,Mar 2015,Reinvestor,Growth Funded by Debt
ABB,Mar 2016,Growth Funded by Debt,Reinvestor
ABB,Mar 2016,Reinvestor,Shareholder Returns
ABB,Mar 2018,Shareholder Returns,Reinvestor
ABB,Mar 2018,Reinvestor,Mixed
ABB,Mar 2019,Mixed,Shareholder Returns
ABB,Mar 2019,Shareholder Returns,Mixed
ABB,Mar 2020,Mixed,Shareholder Returns
ABB,Mar 2020,Shareholder Returns,Mixed
ABB,Mar 2021,Mixed,Shareholder Returns
ABB,Mar 2023,Shareholder Returns,Reinvestor
ABB,Mar 2023,Reinvestor,Mixed
ABB,Mar 2024,Mixed,Shareholder Returns
ADANIENSOL,Mar 2015,Cash Accumulator,Growth Funded by Debt
ADANIENSOL,Mar 2016,Growth Funded by Debt,Shareholder Returns
ADANIENSOL,Mar 2018,Shareholder Returns,Mixed
ADANIENSOL,Mar 2021,Mixed,Shareholder Returns
ADANIENSOL,Mar 2023,Shareholder Returns,Mixed
ADANIENSOL,Mar 2024,Mixed,Shareholder Returns
ADANIENT,Mar 2014,Mixed,Shareholder Returns
ADANIENT,Mar 2015,Shareholder Returns,Mixed
ADANIENT,Mar 2016,Mixed,Shareholder Returns
ADANIENT,Mar 2017,Shareholder Returns,Mixed
ADANIENT,Mar 2019,Mixed,Liquidating Assets
ADANIENT,Mar 2020,Liquidating Assets,Shareholder Returns
ADANIENT,Mar 2021,Shareholder Returns,Mixed
ADANIENT,Mar 2023,Mixed,Shareholder Returns
ADANIENT,Mar 2024,Shareholder Returns,Mixed
ADANIGREEN,Mar 2023,Mixed,Shareholder Returns
ADANIGREEN,Mar 2024,Shareholder Returns,Mixed
ADANIPORTS,Mar 2015,Mixed,Shareholder Returns
ADANIPORTS,Mar 2016,Shareholder Returns,Mixed
ADANIPORTS,Mar 2017,Mixed,Shareholder Returns
ADANIPORTS,Mar 2019,Shareholder Returns,Mixed
ADANIPORTS,Mar 2020,Mixed,Shareholder Returns
ADANIPORTS,Mar 2021,Shareholder Returns,Mixed
ADANIPORTS,Mar 2022,Mixed,Shareholder Returns
ADANIPOWER,Mar 2015,Mixed,Reinvestor
ADANIPOWER,Mar 2016,Reinvestor,Shareholder Returns
ADANIPOWER,Mar 2017,Shareholder Returns,Reinvestor
ADANIPOWER,Mar 2021,Reinvestor,Shareholder Returns
ADANIPOWER,Mar 2022,Shareholder Returns,Liquidating Assets
AGTL,Mar 2019,Mixed,Liquidating Assets
AGTL,Mar 2020,Liquidating Assets,Reinvestor
AGTL,Mar 2021,Reinvestor,Mixed
AGTL,Mar 2024,Mixed,Reinvestor
AMBUJACEM,Dec 2013,Shareholder Returns,Reinvestor
AMBUJACEM,Dec 2014,Reinvestor,Shareholder Returns
AMBUJACEM,Dec 2018,Shareholder Returns,Reinvestor
AMBUJACEM,Dec 2019,Reinvestor,Shareholder Returns
AMBUJACEM,Mar 2023,Shareholder Returns,Mixed
APOLLOHOSP,Mar 2014,Mixed,Shareholder Returns
APOLLOHOSP,Mar 2015,Shareholder Returns,Mixed
APOLLOHOSP,Mar 2018,Mixed,Shareholder Returns
ASIANPAINT,Mar 2015,Shareholder Returns,Reinvestor
ASIANPAINT,Mar 2016,Reinvestor,Shareholder Returns
ASIANPAINT,Mar 2017,Shareholder Returns,Reinvestor
ASIANPAINT,Mar 2018,Reinvestor,Shareholder Returns
ASIANPAINT,Mar 2022,Shareholder Returns,Reinvestor
ASIANPAINT,Mar 2024,Reinvestor,Shareholder Returns
AXISBANK,Mar 2015,Mixed,Growth Funded by Debt
AXISBANK,Mar 2016,Growth Funded by Debt,Distress Signal
AXISBANK,Mar 2017,Distress Signal,Shareholder Returns
AXISBANK,Mar 2018,Shareholder Returns,Growth Funded by Debt
AXISBANK,Mar 2019,Growth Funded by Debt,Mixed
AXISBANK,Mar 2024,Mixed,Growth Funded by Debt
BAJAJ-AUTO,Mar 2014,Reinvestor,Shareholder Returns
BAJAJ-AUTO,Mar 2015,Shareholder Returns,Reinvestor
BAJAJ-AUTO,Mar 2018,Reinvestor,Shareholder Returns
BAJAJ-AUTO,Mar 2019,Shareholder Returns,Reinvestor
BAJAJ-AUTO,Mar 2020,Reinvestor,Liquidating Assets
BAJAJ-AUTO,Mar 2021,Liquidating Assets,Reinvestor
BAJAJ-AUTO,Mar 2022,Reinvestor,Liquidating Assets
BAJAJ-AUTO,Mar 2024,Liquidating Assets,Reinvestor
BAJAJFINSV,Mar 2016,Distress Signal,Growth Funded by Debt
BAJAJFINSV,Mar 2017,Growth Funded by Debt,Distress Signal
BAJAJFINSV,Mar 2018,Distress Signal,Growth Funded by Debt
BAJAJFINSV,Mar 2021,Growth Funded by Debt,Mixed
BAJAJFINSV,Mar 2022,Mixed,Distress Signal
BAJAJFINSV,Mar 2023,Distress Signal,Growth Funded by Debt
BAJAJHLDNG,Mar 2016,Reinvestor,Liquidating Assets
BAJAJHLDNG,Mar 2017,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,Mar 2018,Pre-Revenue,Reinvestor
BAJFINANCE,Mar 2018,Growth Funded by Debt,Distress Signal
BAJFINANCE,Mar 2019,Distress Signal,Growth Funded by Debt
BAJFINANCE,Mar 2022,Growth Funded by Debt,Distress Signal
BAJFINANCE,Mar 2023,Distress Signal,Growth Funded by Debt
BANKBARODA,Mar 2014,Shareholder Returns,Mixed
BANKBARODA,Mar 2015,Mixed,Shareholder Returns
BANKBARODA,Mar 2016,Shareholder Returns,Pre-Revenue
BANKBARODA,Mar 2017,Pre-Revenue,Shareholder Returns
BANKBARODA,Mar 2018,Shareholder Returns,Growth Funded by Debt
BANKBARODA,Mar 2020,Growth Funded by Debt,Mixed
BANKBARODA,Mar 2021,Mixed,Pre-Revenue
BANKBARODA,Mar 2022,Pre-Revenue,Reinvestor
BANKBARODA,Mar 2023,Reinvestor,Pre-Revenue
BANKBARODA,Mar 2024,Pre-Revenue,Growth Funded by Debt
BEL,Mar 2015,Other,Shareholder Returns
BEL,Mar 2017,Shareholder Returns,Other
BEL,Mar 2018,Other,Pre-Revenue
BEL,Mar 2019,Pre-Revenue,Reinvestor
BEL,Mar 2020,Reinvestor,Shareholder Returns
BEL,Mar 2023,Shareholder Returns,Liquidating Assets
BEL,Mar 2024,Liquidating Assets,Shareholder Returns
BHARTIARTL,Mar 2014,Shareholder Returns,Mixed
BHARTIARTL,Mar 2015,Mixed,Shareholder Returns
BHARTIARTL,Mar 2018,Shareholder Returns,Mixed
BHARTIARTL,Mar 2021,Mixed,Reinvestor
BHARTIARTL,Mar 2022,Reinvestor,Shareholder Returns
BHEL,Mar 2015,Mixed,Liquidating Assets
BHEL,Mar 2017,Liquidating Assets,Shareholder Returns
BHEL,Mar 2018,Shareholder Returns,Liquidating Assets
BHEL,Mar 2019,Liquidating Assets,Other
BHEL,Mar 2020,Other,Distress Signal
BHEL,Mar 2021,Distress Signal,Reinvestor
BHEL,Mar 2022,Reinvestor,Shareholder Returns
BHEL,Mar 2023,Shareholder Returns,Distress Signal
BOSCHLTD,Dec 2013,Reinvestor,Shareholder Returns
BOSCHLTD,Mar 2016,Shareholder Returns,Reinvestor
BOSCHLTD,Mar 2017,Reinvestor,Liquidating Assets
BOSCHLTD,Mar 2018,Liquidating Assets,Shareholder Returns
BOSCHLTD,Mar 2019,Shareholder Returns,Liquidating Assets
BOSCHLTD,Mar 2020,Liquidating Assets,Shareholder Returns
BOSCHLTD,Mar 2022,Shareholder Returns,Reinvestor
BOSCHLTD,Mar 2023,Reinvestor,Liquidating Assets
BPCL,Mar 2017,Shareholder Returns,Mixed
BPCL,Mar 2018,Mixed,Shareholder Returns
BPCL,Mar 2019,Shareholder Returns,Mixed
BPCL,Mar 2021,Mixed,Shareholder Returns
BRITANNIA,Mar 2014,Liquidating Assets,Shareholder Returns
BRITANNIA,Mar 2015,Shareholder Returns,Reinvestor
BRITANNIA,Mar 2016,Reinvestor,Shareholder Returns
BRITANNIA,Mar 2017,Shareholder Returns,Reinvestor
BRITANNIA,Mar 2018,Reinvestor,Shareholder Returns
