ADANIENSOL | revenue_flag_10yr | ZERO_BASE
ADANIENSOL | pat_flag_10yr | ZERO_BASE
ADANIENSOL | eps_flag_10yr | ZERO_BASE
ADANIGREEN | revenue_flag_10yr | INSUFFICIENT
ADANIGREEN | pat_flag_5yr | TURNAROUND
ADANIGREEN | pat_flag_10yr | INSUFFICIENT
ADANIGREEN | eps_flag_5yr | TURNAROUND
ADANIGREEN | eps_flag_10yr | INSUFFICIENT
ADANIPOWER | pat_flag_5yr | TURNAROUND
ADANIPOWER | pat_flag_10yr | TURNAROUND
ADANIPOWER | eps_flag_5yr | TURNAROUND
ADANIPOWER | eps_flag_10yr | TURNAROUND
ATGL | revenue_flag_10yr | INSUFFICIENT
ATGL | pat_flag_10yr | INSUFFICIENT
ATGL | eps_flag_10yr | INSUFFICIENT
BAJFINANCE | revenue_flag_10yr | INSUFFICIENT
BAJFINANCE | pat_flag_10yr | INSUFFICIENT
BAJFINANCE | eps_flag_10yr | INSUFFICIENT
BHARTIARTL | pat_flag_3yr | TURNAROUND
BHARTIARTL | eps_flag_3yr | TURNAROUND
BHEL | pat_flag_3yr | TURNAROUND
BHEL | eps_flag_3yr | TURNAROUND
GODREJCP | pat_flag_3yr | DECLINE_TO_LOSS
GODREJCP | pat_flag_5yr | DECLINE_TO_LOSS
GODREJCP | pat_flag_10yr | DECLINE_TO_LOSS
GODREJCP | eps_flag_3yr | DECLINE_TO_LOSS
GODREJCP | eps_flag_5yr | DECLINE_TO_LOSS
GODREJCP | eps_flag_10yr | DECLINE_TO_LOSS
INDIGO | pat_flag_3yr | TURNAROUND
INDIGO | eps_flag_3yr | TURNAROUND
IRCTC | revenue_flag_10yr | INSUFFICIENT
IRCTC | pat_flag_10yr | INSUFFICIENT
IRCTC | eps_flag_10yr | INSUFFICIENT
JINDALSTEL | pat_flag_5yr | TURNAROUND
JINDALSTEL | eps_flag_5yr | TURNAROUND
JIOFIN | revenue_flag_3yr | INSUFFICIENT
JIOFIN | revenue_flag_5yr | INSUFFICIENT
JIOFIN | revenue_flag_10yr | INSUFFICIENT
JIOFIN | pat_flag_3yr | INSUFFICIENT
JIOFIN | pat_flag_5yr | INSUFFICIENT
JIOFIN | pat_flag_10yr | INSUFFICIENT
JIOFIN | eps_flag_3yr | INSUFFICIENT
JIOFIN | eps_flag_5yr | INSUFFICIENT
JIOFIN | eps_flag_10yr | INSUFFICIENT
LICI | revenue_flag_10yr | INSUFFICIENT
LICI | pat_flag_10yr | INSUFFICIENT
LICI | eps_flag_10yr | INSUFFICIENT
PNB | pat_flag_5yr | TURNAROUND
PNB | eps_flag_5yr | TURNAROUND
TATAMOTORS | pat_flag_3yr | TURNAROUND
TATAMOTORS | pat_flag_5yr | TURNAROUND
TATAMOTORS | eps_flag_3yr | TURNAROUND
TATAMOTORS | eps_flag_5yr | TURNAROUND
TATAPOWER | eps_flag_10yr | TURNAROUND
TATASTEEL | pat_flag_3yr | DECLINE_TO_LOSS
TATASTEEL | pat_flag_5yr | DECLINE_TO_LOSS
TATASTEEL | pat_flag_10yr | DECLINE_TO_LOSS
TATASTEEL | eps_flag_3yr | DECLINE_TO_LOSS
TATASTEEL | eps_flag_5yr | DECLINE_TO_LOSS
TATASTEEL | eps_flag_10yr | DECLINE_TO_LOSS
TRENT | pat_flag_3yr | TURNAROUND
TRENT | pat_flag_10yr | TURNAROUND
TRENT | eps_flag_3yr | TURNAROUND
TRENT | eps_flag_10yr | TURNAROUND
