company_id,company_name,broad_sector,market_cap_crore,pe_ratio,pb_ratio,ev_ebitda,free_cash_flow_cr,fcf_yield_pct,sector_median_pe,pe_vs_sector_pct,valuation_flag
ABB,Abbott India Ltd,Industrials,1536236.24,75.58,4.48,12.63,1095.0,0.07,47.155,160.28,Caution
ADANIENSOL,Adani Energy Solutions Ltd,Energy,348517.36,58.5,9.05,14.83,1095.0,0.31,44.915,130.25,Fair
ADANIENT,Adani Enterprises Ltd,Industrials,187927.97,58.87,10.41,33.01,-8455.0,-4.5,47.155,124.84,Fair
ADANIGREEN,Adani Green Energy Ltd,Energy,510512.78,45.26,6.24,21.78,-13347.0,-2.61,44.915,100.77,Fair
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,675598.01,48.9,2.31,31.76,8250.0,1.22,47.155,103.7,Fair
ADANIPOWER,Adani Power Ltd,Energy,1372183.55,44.57,9.91,24.76,17651.0,1.29,44.915,99.23,Fair
AMBUJACEM,Ambuja Cements Ltd,Materials,1281411.04,55.62,9.21,27.67,-3295.0,-0.26,55.62,100.0,Fair
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,1905622.43,47.72,7.68,16.74,383.0,0.02,47.06,101.4,Fair
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2126725.18,73.37,3.9,23.94,3556.0,0.17,55.62,131.91,Fair
ATGL,Adani Total Gas Ltd,Energy,1535602.41,56.96,5.76,28.93,,,44.915,126.82,Fair
AXISBANK,Axis Bank Ltd,Financials,948868.63,38.14,4.66,16.87,-14556.0,-1.53,34.24,111.39,Fair
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,653817.3,29.91,9.83,20.14,6486.0,0.99,38.005,78.7,Fair
BAJAJFINSV,Bajaj Finserv Ltd,Financials,1905112.17,15.07,6.08,39.72,-79634.0,-4.18,34.24,44.01,Discount
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,2191568.13,37.73,9.38,27.47,1469.0,0.07,34.24,110.19,Fair
BAJFINANCE,Bajaj Finance Ltd,Financials,2473271.58,69.2,4.11,15.96,-79931.0,-3.23,34.24,202.1,Caution
BANKBARODA,Bank of Baroda,Financials,590971.02,16.89,4.15,24.7,-7559.0,-1.28,34.24,49.33,Discount
